id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
22209521;Arjona · Luxury Apartment in Plaza de Armas;123493257;Casco Antiguo;37.3883;-6.00177;true;87;160;05/09/2020
22210020;TrianaApartament. Corral Alfareria 49. at13;162296324;Triana;37.38608;-6.00577;true;106;8;25/02/2020
22217584;Spacious twin or triple bedroom w/ bathroom inside;162347770;Los Remedios;37.37219;-5.99763;false;35;101;06/03/2020
22271752;Hotel Bellavista Sevilla;162757624;Palmera - Bellavista;37.31892;-5.96951;false;51;5;12/11/2020
22273811;Twin ensuite bedroom (w/ private bathroom inside);162347770;Los Remedios;37.37322;-5.99758;false;30;57;09/03/2020
22277931;Ático con terraza y vistas al Archivo de Indias;46639787;Casco Antiguo;37.38429;-5.99265;false;158;10;22/02/2021
22287020;Loft con vistas al Archivo de Indias;46639787;Casco Antiguo;37.38428;-5.99372;false;138;14;26/09/2019
22287482;Duplex con encanto;46639787;Casco Antiguo;37.38519;-5.99274;true;117;2;25/02/2018
22289900;Betis Beautiful Views Fantastic Location;860055;Triana;37.3849;-6.00122;true;110;7;31/10/2018
22292692;CASA SOL Y LUNA Habitaciones Dobles;162931791;Casco Antiguo;37.39233;-5.99016;false;37;1;03/03/2018
22292896;LN1 2BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39118;-5.98644;true;109;63;13/10/2020
22303165;Magnífico apartamento en Triana, 5 Min. del centro;42789582;Triana;37.38978;-6.01093;true;55;22;23/02/2020
22303230;LN2 2BD+2BTH Shared terrace with pool + Wheel Chair Friendly apartment;162933794;Casco Antiguo;37.39046;-5.98584;true;104;54;13/10/2020
22304436;LN3 2BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39059;-5.98571;true;83;100;16/03/2020
22306107;LN4 2BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39064;-5.98703;true;115;64;14/01/2021
22323519;LUMINOSO APARTAMENTO EN SEVILLA CENTRO;163193716;Casco Antiguo;37.39716;-5.9916;true;75;63;08/03/2020
22324779;Bonito y cómodo apartamento en La Macarena.;163212301;Macarena;37.40746;-5.98559;true;72;22;05/01/2020
22341949;LN5 2BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39049;-5.98552;true;115;44;26/01/2020
22362623;LN6 3BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39184;-5.98566;true;136;113;27/12/2020
22365649;Santiago. 3 bedrooms, terrace, free parking;81856384;Casco Antiguo;37.38987;-5.98643;true;114;48;24/08/2020
22368366;Luxury flat with great views to Basilica Macarena;124297057;Casco Antiguo;37.40264;-5.98898;true;117;9;30/08/2020
22381544;Apartamento Casco Antiguo Alameda tranquilo, moderno y funcional con piscina;2955713;Casco Antiguo;37.39666;-5.99311;true;90;85;15/03/2020
22408188;LN7 2BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39118;-5.98644;true;83;98;19/10/2020
22419337;Habitación en apartamento muy luminoso y acogedor;15560487;Sur;37.36765;-5.97633;false;26;44;09/03/2020
22420660;LN8 2BD+2BTH Cloakroom, Shared terrace with pool + Parking on demand;162933794;Casco Antiguo;37.39219;-5.98565;true;120;82;15/10/2020
22425552;Amplio y comodo apto. en la mejor zona de Sevilla;14958822;Casco Antiguo;37.3893;-5.99104;true;74;171;31/08/2020
22427091;LOFT SANTA CRUZ;79272159;Casco Antiguo;37.38783;-5.99012;true;84;72;15/03/2020
22448067;CasAQuintero Apartments (Tendido 1 );164470231;Casco Antiguo;37.38826;-5.99327;true;93;111;09/03/2020
22452583;Alameda · Desing House with Rooftop in Alameda de Hércules;123493257;Casco Antiguo;37.398;-5.99275;true;85;150;19/03/2020
22453177;Modern. Fully Renovated. Best location;5031594;Casco Antiguo;37.39679;-5.99749;true;135;27;03/11/2019
22458374;Apartamento luminoso en el centro de Sevilla;14958822;Casco Antiguo;37.38665;-5.98625;true;46;78;12/03/2020
22461055;Hostly Orfila B exclusive private terrace Park Op;3173171;Casco Antiguo;37.39343;-5.99388;true;65;77;11/10/2020
22482620;Tranquila, ventilada, luminosa. Ascensor y azotea.;7927432;Casco Antiguo;37.39854;-5.988;false;11;46;11/03/2020
22488394;ATICO CORAZÓN DE TRIANA 2 ROOMS WIFI TERRACE;49142334;Triana;37.38409;-6.00399;true;200;0;
22495701;MÁXIMO LUJO EN CALLE FRANCOS. NO TE ARREPENTIRÁS.;102963141;Casco Antiguo;37.38867;-5.99291;true;56;120;15/03/2020
22524779;La Corrala de Triana;165229084;Triana;37.38368;-6.00088;true;90;119;09/03/2020
22526855;Sevilla Centro Histórico (Catedral/Judería);165402689;Casco Antiguo;37.38628;-5.9867;true;74;53;12/03/2020
22527699;EL NOMADA;165413592;Macarena;37.40851;-5.98;false;19;7;21/09/2018
22532020;Loft with private terrace and common roof terrace in San Bernardo;88245145;Nervión;37.38346;-5.98323;true;70;138;11/03/2020
22566020;Swimming pool & relax Matahacas apartment 12;4653961;Casco Antiguo;37.39462;-5.98514;true;92;58;02/11/2020
22598927;Swimming pool & relax Matahacas apartment 8;4653961;Casco Antiguo;37.39531;-5.98555;true;69;55;12/10/2020
22611652;Swimming pool & relax Matahacas apartment 9;4653961;Casco Antiguo;37.39511;-5.98496;true;69;37;03/03/2020
22615748;Cozy Modern Duplex in Sevilla center *WI-FI*;159455813;Casco Antiguo;37.39586;-5.99836;true;50;113;17/01/2021
22615903;Romantic Spanish home. Terrace views of monastery;159455813;Casco Antiguo;37.39754;-5.99625;true;50;122;07/02/2021
22622013;Moderno y espacioso apartamento junto a la calle Regina;2564339;Casco Antiguo;37.39396;-5.99256;true;68;67;13/12/2020
22625713;Walk to the Cathedral! 3BEDROOM/2 BA, WIFI, GARAGE;589600;Casco Antiguo;37.38963;-5.98902;true;66;105;13/03/2020
22627250;Swimming pool & relax Matahacas apartment 11;4653961;Casco Antiguo;37.39481;-5.98547;true;68;50;24/10/2020
22631567;En barrio típico,  conoce la auténtica Sevilla!;166618468;Macarena;37.4069;-5.97804;false;22;58;27/09/2020
22650125;Swimming pool & relax Matahacas apartment 10;4653961;Casco Antiguo;37.39469;-5.98518;true;68;49;02/11/2020
22668250;Swimming pool & relax Matahacas apartment 1;4653961;Casco Antiguo;37.39536;-5.98614;true;66;59;11/10/2020
22670068;SEVILLA CASA TIPICA. Linda, BONITA;157380275;Macarena - Norte;37.42796;-5.96593;false;80;11;26/05/2019
22671309;Habitación privada Solo chicos;91018331;Palmera - Bellavista;37.35418;-5.97696;false;15;12;06/06/2019
22672445;Seville Center. Double bedroom - private bathroom.;166956480;Casco Antiguo;37.40183;-5.99287;false;22;190;13/09/2020
22678263;Elegant Large 8pax 7balconies historic city center;90286205;Casco Antiguo;37.39083;-5.99247;true;209;125;10/03/2020
22701809;CASA SOL Y LUNA Habitación Individual;162931791;Casco Antiguo;37.39137;-5.9914;false;23;24;21/02/2020
22703128;Swimming pool & relax Matahacas apartment 2;4653961;Casco Antiguo;37.3934;-5.98659;true;64;35;12/10/2020
22758638;Mercado Calle Feria;79039360;Casco Antiguo;37.39916;-5.99199;true;62;63;07/01/2020
22760147;Nice Apart. Perfect Location *WiFi - A/C);80817564;Casco Antiguo;37.38979;-5.98725;true;30;139;22/02/2021
22771409;Swimming pool & relax Matahacas apartment 4;4653961;Casco Antiguo;37.39489;-5.98617;true;67;38;02/11/2020
22789283;Swimming pool & relax Matahacas studio 3;4653961;Casco Antiguo;37.39353;-5.98563;true;60;40;30/08/2020
22799212;Nice apartment in the heart of City;32817878;Casco Antiguo;37.39487;-6.00007;true;51;122;27/09/2020
22802649;Plaza Nueva Central Superior;168356229;Casco Antiguo;37.38913;-5.99584;true;68;14;11/02/2020
22803686;Apartamento Renacentista en el CORAZÓN de SEVILLA;168294394;Casco Antiguo;37.3889;-5.98815;true;71;94;14/10/2020
22807923;Cozy and modern apartment in the city center;24794841;Casco Antiguo;37.39239;-5.99704;true;130;30;09/03/2020
22822456;Charming house near Plaza de España;168297702;Sur;37.37248;-5.98199;true;406;0;
